dateTime,ngl-dual-504.symbolblockchain.io,ngl-dual-502.symbolblockchain.io,ngl-beacon-102.symbolblockchain.io,ngl-dual-001.symbolblockchain.io,ngl-dual-004.symbolblockchain.io,ngl-dual-602.symbolblockchain.io,ngl-dual-203.symbolblockchain.io,ngl-beacon-602.symbolblockchain.io,ngl-beacon-502.symbolblockchain.io,ngl-beacon-001.symbolblockchain.io,ngl-dual-204.symbolblockchain.io,ngl-dual-202.symbolblockchain.io,ngl-dual-002.symbolblockchain.io,ngl-dual-403.symbolblockchain.io,ngl-beacon-302.symbolblockchain.io,ngl-dual-401.symbolblockchain.io,ngl-dual-503.symbolblockchain.io,ngl-beacon-402.symbolblockchain.io,ngl-beacon-202.symbolblockchain.io,ngl-dual-201.symbolblockchain.io,ngl-beacon-401.symbolblockchain.io,ngl-dual-302.symbolblockchain.io,ngl-dual-402.symbolblockchain.io,ngl-dual-003.symbolblockchain.io,ngl-beacon-301.symbolblockchain.io,ngl-dual-604.symbolblockchain.io,ngl-dual-104.symbolblockchain.io,ngl-dual-102.symbolblockchain.io,ngl-dual-103.symbolblockchain.io,ngl-dual-304.symbolblockchain.io,ngl-dual-303.symbolblockchain.io,ngl-beacon-002.symbolblockchain.io,ngl-beacon-201.symbolblockchain.io,ngl-dual-404.symbolblockchain.io,ngl-dual-501.symbolblockchain.io,ngl-dual-601.symbolblockchain.io,ngl-beacon-101.symbolblockchain.io,ngl-beacon-501.symbolblockchain.io,ngl-dual-603.symbolblockchain.io,ngl-dual-101.symbolblockchain.io,ngl-dual-301.symbolblockchain.io,ngl-beacon-601.symbolblockchain.io
2021-03-29,4.0,9.0,4.0,4.0,3.0,6.0,5.0,6.0,2.0,0.0,2.0,5.0,10.0,3.0,7.0,5.0,4.0,4.0,7.0,8.0,3.0,4.0,7.0,3.0,8.0,8.0,6.0,2.0,3.0,5.0,5.0,7.0,4.0,4.0,8.0,8.0,3.0,4.0,6.0,7.0,5.0,4.0
2021-03-30,3.0,6.0,10.0,6.0,7.0,7.0,3.0,4.0,10.0,0.0,2.0,3.0,5.0,6.0,9.0,5.0,5.0,6.0,6.0,7.0,6.0,4.0,3.0,2.0,5.0,5.0,4.0,6.0,3.0,4.0,4.0,4.0,5.0,10.0,6.0,4.0,3.0,10.0,3.0,4.0,11.0,1.0
2021-03-31,9.0,4.0,4.0,6.0,8.0,2.0,5.0,3.0,2.0,0.0,4.0,7.0,4.0,5.0,6.0,2.0,7.0,5.0,3.0,8.0,4.0,5.0,2.0,7.0,8.0,1.0,7.0,9.0,8.0,7.0,10.0,3.0,5.0,9.0,5.0,3.0,2.0,2.0,10.0,9.0,5.0,8.0
2021-04-01,8.0,11.0,7.0,10.0,8.0,7.0,5.0,7.0,3.0,0.0,7.0,7.0,5.0,7.0,5.0,5.0,3.0,3.0,7.0,6.0,6.0,5.0,4.0,8.0,3.0,7.0,3.0,3.0,6.0,10.0,7.0,6.0,2.0,3.0,10.0,6.0,3.0,6.0,9.0,4.0,10.0,6.0
2021-04-02,8.0,9.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,0.0,3.0,7.0,8.0,5.0,5.0,3.0,3.0,6.0,2.0,8.0,7.0,10.0,1.0,6.0,7.0,6.0,6.0,3.0,2.0,3.0,5.0,7.0,6.0,2.0,1.0,4.0,4.0,4.0,7.0,7.0,3.0,9.0
2021-04-03,2.0,2.0,3.0,6.0,5.0,5.0,9.0,7.0,2.0,0.0,7.0,6.0,3.0,3.0,3.0,5.0,7.0,7.0,5.0,4.0,4.0,5.0,5.0,4.0,6.0,10.0,4.0,5.0,3.0,3.0,8.0,5.0,4.0,7.0,4.0,4.0,5.0,7.0,4.0,7.0,0.0,3.0
2021-04-04,3.0,6.0,6.0,10.0,3.0,8.0,5.0,5.0,8.0,0.0,7.0,7.0,9.0,4.0,6.0,4.0,3.0,9.0,6.0,5.0,4.0,4.0,5.0,3.0,7.0,5.0,5.0,3.0,6.0,2.0,3.0,7.0,5.0,2.0,6.0,5.0,6.0,3.0,8.0,6.0,4.0,4.0
2021-04-05,4.0,4.0,2.0,5.0,7.0,7.0,12.0,7.0,4.0,0.0,4.0,6.0,2.0,3.0,5.0,9.0,5.0,8.0,3.0,6.0,6.0,8.0,6.0,5.0,7.0,6.0,6.0,5.0,9.0,3.0,8.0,10.0,2.0,4.0,9.0,3.0,6.0,4.0,3.0,9.0,9.0,3.0
2021-04-06,6.0,4.0,4.0,4.0,3.0,0.0,3.0,4.0,11.0,0.0,7.0,7.0,3.0,5.0,4.0,5.0,7.0,4.0,3.0,5.0,3.0,4.0,4.0,3.0,6.0,5.0,3.0,4.0,7.0,4.0,5.0,5.0,9.0,6.0,1.0,3.0,4.0,4.0,5.0,5.0,4.0,3.0
2021-04-07,10.0,6.0,10.0,5.0,3.0,4.0,4.0,6.0,7.0,0.0,7.0,6.0,2.0,4.0,6.0,4.0,4.0,5.0,2.0,13.0,2.0,6.0,9.0,5.0,9.0,2.0,7.0,8.0,1.0,3.0,7.0,6.0,6.0,7.0,5.0,4.0,6.0,6.0,3.0,1.0,4.0,3.0
2021-04-08,5.0,5.0,9.0,5.0,8.0,5.0,8.0,5.0,6.0,0.0,8.0,8.0,5.0,5.0,6.0,1.0,4.0,5.0,6.0,6.0,4.0,7.0,9.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,5.0,5.0,6.0,1.0,9.0,1.0,5.0,6.0,6.0,0.0,6.0,6.0
2021-04-09,2.0,7.0,14.0,7.0,3.0,5.0,6.0,6.0,5.0,0.0,4.0,0.0,6.0,6.0,5.0,9.0,4.0,5.0,2.0,4.0,8.0,6.0,8.0,5.0,5.0,8.0,8.0,1.0,5.0,2.0,7.0,3.0,7.0,2.0,6.0,6.0,3.0,11.0,4.0,7.0,4.0,1.0
2021-04-10,4.0,6.0,2.0,2.0,3.0,3.0,3.0,6.0,5.0,0.0,7.0,4.0,3.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,7.0,4.0,1.0,3.0,2.0,3.0,6.0,10.0,6.0,2.0,5.0,8.0,3.0,4.0,11.0,1.0,9.0,6.0,3.0,6.0,5.0,4.0
2021-04-11,4.0,5.0,2.0,4.0,2.0,8.0,8.0,2.0,8.0,0.0,4.0,6.0,4.0,6.0,8.0,6.0,7.0,6.0,2.0,7.0,6.0,1.0,8.0,3.0,8.0,4.0,6.0,5.0,2.0,8.0,7.0,0.0,5.0,4.0,6.0,2.0,4.0,1.0,4.0,5.0,6.0,7.0
2021-04-12,3.0,7.0,7.0,4.0,7.0,5.0,7.0,6.0,2.0,0.0,4.0,8.0,4.0,5.0,8.0,5.0,6.0,6.0,10.0,4.0,4.0,10.0,7.0,6.0,7.0,5.0,4.0,6.0,4.0,4.0,8.0,7.0,4.0,9.0,5.0,5.0,4.0,6.0,8.0,8.0,5.0,8.0
2021-04-13,11.0,2.0,3.0,7.0,4.0,7.0,6.0,3.0,8.0,0.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,3.0,6.0,6.0,5.0,8.0,3.0,8.0,5.0,6.0,6.0,4.0,2.0,8.0,6.0,5.0,3.0,3.0,5.0,5.0,4.0,6.0,3.0,2.0,8.0,8.0
2021-04-14,2.0,7.0,4.0,8.0,9.0,9.0,7.0,10.0,4.0,0.0,4.0,4.0,4.0,8.0,5.0,6.0,4.0,2.0,4.0,8.0,3.0,4.0,4.0,7.0,4.0,3.0,4.0,4.0,6.0,5.0,9.0,9.0,2.0,6.0,6.0,4.0,3.0,2.0,9.0,7.0,12.0,3.0
2021-04-15,3.0,11.0,7.0,6.0,6.0,3.0,5.0,4.0,2.0,0.0,3.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,8.0,6.0,5.0,10.0,6.0,4.0,4.0,5.0,6.0,6.0,6.0,9.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0
2021-04-16,2.0,4.0,4.0,3.0,7.0,3.0,5.0,2.0,7.0,0.0,6.0,3.0,5.0,6.0,8.0,4.0,6.0,3.0,4.0,7.0,6.0,4.0,4.0,9.0,6.0,7.0,7.0,6.0,5.0,6.0,3.0,5.0,4.0,8.0,5.0,4.0,3.0,2.0,6.0,7.0,3.0,2.0
2021-04-17,2.0,2.0,8.0,8.0,4.0,10.0,7.0,4.0,8.0,0.0,1.0,7.0,8.0,5.0,4.0,3.0,7.0,3.0,2.0,7.0,4.0,5.0,7.0,4.0,3.0,6.0,2.0,3.0,4.0,6.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,7.0,8.0,5.0,5.0
2021-04-18,2.0,4.0,7.0,6.0,4.0,5.0,5.0,7.0,3.0,0.0,4.0,7.0,8.0,3.0,4.0,6.0,1.0,11.0,4.0,3.0,5.0,6.0,5.0,5.0,3.0,11.0,4.0,6.0,9.0,4.0,4.0,3.0,7.0,9.0,5.0,3.0,8.0,2.0,6.0,4.0,7.0,8.0
